name,website
2CV,http://www.2CV.com
All Street Research Pte Ltd,https://www.allstreetresearch.com
Ascentiq Pte Ltd,http://www.ascentiq.com.sg
Asian Strategies Pte Ltd,http://www.asianstrategies.com
Axanteus Research Pte Ltd,https://axanteusresearch.com/
BDRC Asia,https://www.bva-bdrc.com/
Black Dot Research Pte Ltd,http://blackdotresearch.sg
Blackbox Research Pte Ltd,https://www.blackbox.com.sg
Consumer Faces Pte Ltd,http://www.consumerfaces.com
Cruger Haus Sg Pte Ltd,http://www.crugerhaus.sg
Duxton Consulting Group Pte Ltd,http://duxtonconsulting.com
Dynata Singapore Pte. Ltd.,https://www.dynata.com/
EA Research & Consulting Pte Ltd,https://www.earc.com.sg
IdStats Research & Consultancy,http://www.idstats.co
InsightAsia Research Group (Singapore) Pte Ltd,http://www.insightasia.com
InsightzClub Pte Ltd,http://www.insightzclub.com/
Ipsos Pte Ltd,https://www.ipsos.com/en-sg
Joshua Research Consultants Pte Ltd,http://www.joshuaresearch.com
Kadence International Pte Ltd,http://www.kadence.com
Kantar Public Singapore,https://www.kantarpublic.com/
Kantar Singapore Pte Ltd,http://www.kantar.com
Media Research Consultants Pte Ltd,http://www.mrconsultants.sg/
Meggnify Pte Ltd,http://www.meggnify.com
Milieu Insight Pte. Ltd.,https://mili.eu
ML Research Consultants Pte Ltd,https://mlresearch.com.sg
Nexus Link Pte Ltd,http://www.nexus-link.net
Nielsen,www.nielsen.com/investors
NielsenIQ,www.nielseniq.com
QS-First Pte Ltd,http://www.qsfirst.sg
Rakuten Insight Singapore Pte Ltd,http://insight.rakuten.com
TNB Global Survey Pte Ltd,www.tnbsurvey.com
Toluna,https://tolunacorporate.com/
